SOURCE    DSS  ASTRID       TOTAL_TIME_MINUTES
NGC0447   1    20                  63.000000  
NGC0528   1    19                  63.000000  
UGC03253  2    31                  30.000000  
UGC03539  2    31,35               40.000000  
NGC2253   4    31                  30.000000  
NGC2347   4    35,39               40.000000  
UGC03899  4    24                  63.000000  
UGC04054  4    17,19               77.000000  
UGC04280  4    06                  63.000000  
UGC04461  4    11                  63.000000  
IC2247    5    21,22,31            93.000000  
NGC2410   5    06                  63.000000  
NGC2480   5    10,11               126.00000  
NGC2604   5    19                  63.000000  
UGC03995  5    24                  63.000000  
NGC2481   6    19                  63.000000  
NGC2623   6    21                  63.000000  
NGC2730   6    06,09               70.165000  
UGC03969  6    22                  63.000000  
UGC04029  6    39                  17.148333  
NGC2449   7    24                  63.000000  
NGC2487   7    11                  63.000000  
NGC2639   7    11                  63.000000  
NGC2805   7    19                  63.000000  
NGC2880   7    09                  63.000000  
UGC03973  7    39                  30.000000  
IC0480    8    24,26               77.000000  
IC2487    8    11                  63.000000  
NGC2486   8    22,24               70.000000  
UGC05244  8    21                  63.000000  
UGC05359  8    21                  63.000000  
UGC05598  8    14                  63.000000  
IC0540    9    12,17               77.000000  
NGC2918   9    17                  63.000000  
NGC3106   9    21                  63.000000  
UGC05111  9    17                  63.000000  
NGC2906   10   21                  63.000000  
NGC2916   10   09                  63.000000  
NGC3303   10   13,14               77.000000  
UGC05108  10   17                  63.000000  
UGC06312  10   13                  63.000000  
NGC3057   11   19,20               77.000000  
NGC3381   11   21                  63.000000  
NGC3811   11   30                  30.000000  
UGC05498  11   14                  63.000000  
UGC07012  11   30                  30.000000  
NGC3158   12   26,31               41.000000  
NGC3687   12   09,12               77.000000  
NGC3815   12   01                  63.000000
NGC3994   12   01                  63.000000
NGC4210   12   03                  63.000000
UGC05990  12   29                  30.000000
NGC4003   13   29,30               40.000000
NGC4149   13   03,13               77.000000
NGC4211N  13   19                  63.000000
NGC4676B  13   29                  30.000000
NGC4047   14   30                  30.000000
NGC4185   14   11,13               58.430000
NGC4676A  14   13                  63.000000
NGC4961   14   30                  30.000000
UGC08267  14   30,33               34.915000
NGC4470   15   30                  30.000000
NGC4644   15   11                  63.000000
NGC5056   15   40                  23.333333
UGC07145  15   29                  30.000000
UGC08107  15   33,34               33.333333
UGC08778  15   36,38,40            25.563333
NGC4711   16   11                  63.000000
NGC5016   16   40                  30.000000
NGC5394   16   27                  42.000000
NGC5520   17   05                  63.000000
UGC08250  17   30                  30.000000
NGC5000   18   05                  63.000000
ARP220    19   33                  30.000000
NGC5406   19   05,14,24,25         75.463333
NGC5631   19   40                  30.000000
NGC5876   19   04                  63.000000
NGC5485   20   25                  63.000000
NGC5657   20   25,27               75.265000
NGC5784   20   27                  63.000000
NGC5930   20   16,18               63.000000
NGC5980   20   27                  30.000000
UGC10123  20   04                  63.000000
NGC6125   21   16,18               84.000000
UGC10380  21   37                  54.000000
IC1151    22   34                  30.000000
NGC5732   22   27                  63.000000
NGC6146   22   20,23               63.000000
NGC5947   23   28                  30.000000
NGC6004   23   33                  30.000000
NGC6027   24   27                  30.000000
NGC6186   24   32,34               30.000000
UGC09892  24   28                  30.000000
UGC10331  24   18,20               77.000000
UGC10384  24   37                  54.000000
NGC5953   25   33                  30.000000
NGC6063   25   34                  30.000000
NGC6155   25   04,08               90.448333
UGC10043  25   33                  30.000000
NGC6021   26   38                  54.000000
NGC6168   26   32,34               30.000000
NGC6394   26   20,23               126.00000
UGC09919  26   38                  54.000000
UGC10710  26   34                  30.000000
IC4566    27   20,23               63.000000
NGC6314   27   32                  30.000000
NGC6478   27   28                  30.000000
NGC6060   28   32,34               30.000000
NGC6310   28   08                  63.000000
NGC6361   28   24                  63.000000
NGC6497   28   08,10,15            119.00000
IC1199    29   27,28               53.548333
NGC6081   29   28,33               30.000000
NGC6301   29   28,32,34            44.965000
UGC10205  29   38                  54.000000
NGC6762   30   10,15               126.00000
