Session Info
First Scan Start	2025-11-18 15:19 UTC
Last Scan End	2025-11-18 20:16 UTC
Total Size	1.44 GiB
# Files	500
# Scans	83
Total Obs. Time	3:57:00
Total Obs. Span	4:57:22
Min. Scan Duration	0:00:30
Max. Scan Duration	0:03:00
Antenna Beam Intra-Scan Odometer	9.68°
Antenna Beam Odometer	None
Az. Scan Odometer	44.576 m
Az. Odometer	
Az. Displacement


People
Observer	OPERATOR
Operator	David Rose


DSS Periods (1)
DSS Session	PI	State	Start	Duration	Target	Receivers
GBT25A-474 - 03	Alberto Bolatto	Scheduled	2025-11-18 15:15 UTC	5.0	NGC5480, NGC5633, UGC09476, UGC08733, UGC10972, UGC09542, NGC5934, UGC09598, NGC6154, UGC08781, IC4215, UGC10905, UGC09711, UGC09629, UGC08234, NGC6427 (4.58, 0.67)	L


Executed Astrid Scripts (1)
Script Name	Start	End	Duration	State	Observer	# Scans	Script md5
25A474_operator	2025-11-18 15:15 UTC	2025-11-18 15:15 UTC	0:00:00	In Progress	OPERATOR	83	—


Scans (83) ¶
Start	End	Duration	#	Observer	Frontends	Backends	Object	Proc. Name	Proc. Type	# Subscans	Rest Freq.	Sky Freq.	Astrid Script
2025-11-18 15:19 UTC	2025-11-18 15:19 UTC	0:00:30	1	OPERATOR	Rcvr1_2	DCR	3C295	Peak	POINTING	4	1.4 GHz	1.4 GHz	25A474_operator 2025-11-18 15:15:04+00:00
2025-11-18 15:20 UTC	2025-11-18 15:20 UTC	0:00:30	2	OPERATOR	Rcvr1_2	DCR	3C295	Peak	POINTING	4	1.4 GHz	1.4 GHz	25A474_operator 2025-11-18 15:15:04+00:00
2025-11-18 15:21 UTC	2025-11-18 15:21 UTC	0:00:30	3	OPERATOR	Rcvr1_2	DCR	3C295	Peak	POINTING	4	1.4 GHz	1.4 GHz	25A474_operator 2025-11-18 15:15:04+00:00
2025-11-18 15:22 UTC	2025-11-18 15:22 UTC	0:00:30	4	OPERATOR	Rcvr1_2	DCR	3C295	Peak	POINTING	4	1.4 GHz	1.4 GHz	25A474_operator 2025-11-18 15:15:04+00:00
2025-11-18 15:23 UTC	2025-11-18 15:24 UTC	0:01:00	5	OPERATOR	Rcvr1_2	DCR	3C295	FocusSubreflector	CALIBRATION	1	1.4 GHz	1.4 GHz	25A474_operator 2025-11-18 15:15:04+00:00
2025-11-18 15:25 UTC	2025-11-18 15:28 UTC	0:03:00	6	OPERATOR	Rcvr1_2	VEGAS	3C295	OnOff	SIMPLE	2	1.4 GHz	1.4 GHz	25A474_operator 2025-11-18 15:15:04+00:00
2025-11-18 15:29 UTC	2025-11-18 15:32 UTC	0:03:00	7	OPERATOR	Rcvr1_2	VEGAS	3C295	OnOff	SIMPLE	2	1.4 GHz	1.4 GHz	25A474_operator 2025-11-18 15:15:04+00:00
2025-11-18 15:34 UTC	2025-11-18 15:37 UTC	0:03:00	8	OPERATOR	Rcvr1_2	VEGAS	NGC5934	OnOff	SIMPLE	2	1.4 GHz	1.4 GHz	25A474_operator 2025-11-18 15:15:04+00:00
2025-11-18 15:38 UTC	2025-11-18 15:41 UTC	0:03:00	9	OPERATOR	Rcvr1_2	VEGAS	NGC5934	OnOff	SIMPLE	2	1.4 GHz	1.4 GHz	25A474_operator 2025-11-18 15:15:04+00:00
2025-11-18 15:41 UTC	2025-11-18 15:44 UTC	0:03:00	10	OPERATOR	Rcvr1_2	VEGAS	NGC5934	OnOff	SIMPLE	2	1.4 GHz	1.4 GHz	25A474_operator 2025-11-18 15:15:04+00:00
2025-11-18 15:45 UTC	2025-11-18 15:48 UTC	0:03:00	11	OPERATOR	Rcvr1_2	VEGAS	NGC5934	OnOff	SIMPLE	2	1.4 GHz	1.4 GHz	25A474_operator 2025-11-18 15:15:04+00:00
2025-11-18 15:48 UTC	2025-11-18 15:51 UTC	0:03:00	12	OPERATOR	Rcvr1_2	VEGAS	NGC5934	OnOff	SIMPLE	2	1.4 GHz	1.4 GHz	25A474_operator 2025-11-18 15:15:04+00:00
2025-11-18 15:52 UTC	2025-11-18 15:55 UTC	0:03:00	13	OPERATOR	Rcvr1_2	VEGAS	NGC5934	OnOff	SIMPLE	2	1.4 GHz	1.4 GHz	25A474_operator 2025-11-18 15:15:04+00:00
2025-11-18 15:55 UTC	2025-11-18 15:58 UTC	0:03:00	14	OPERATOR	Rcvr1_2	VEGAS	NGC5934	OnOff	SIMPLE	2	1.4 GHz	1.4 GHz	25A474_operator 2025-11-18 15:15:04+00:00
2025-11-18 15:59 UTC	2025-11-18 16:02 UTC	0:03:00	15	OPERATOR	Rcvr1_2	VEGAS	NGC5934	OnOff	SIMPLE	2	1.4 GHz	1.4 GHz	25A474_operator 2025-11-18 15:15:04+00:00
2025-11-18 16:02 UTC	2025-11-18 16:05 UTC	0:03:00	16	OPERATOR	Rcvr1_2	VEGAS	NGC5934	OnOff	SIMPLE	2	1.4 GHz	1.4 GHz	25A474_operator 2025-11-18 15:15:04+00:00
2025-11-18 16:06 UTC	2025-11-18 16:09 UTC	0:03:00	17	OPERATOR	Rcvr1_2	VEGAS	NGC5934	OnOff	SIMPLE	2	1.4 GHz	1.4 GHz	25A474_operator 2025-11-18 15:15:04+00:00
2025-11-18 16:11 UTC	2025-11-18 16:14 UTC	0:03:00	18	OPERATOR	Rcvr1_2	VEGAS	NGC6154	OnOff	SIMPLE	2	1.4 GHz	1.4 GHz	25A474_operator 2025-11-18 15:15:04+00:00
2025-11-18 16:14 UTC	2025-11-18 16:17 UTC	0:03:00	19	OPERATOR	Rcvr1_2	VEGAS	NGC6154	OnOff	SIMPLE	2	1.4 GHz	1.4 GHz	25A474_operator 2025-11-18 15:15:04+00:00
2025-11-18 16:18 UTC	2025-11-18 16:21 UTC	0:03:00	20	OPERATOR	Rcvr1_2	VEGAS	NGC6154	OnOff	SIMPLE	2	1.4 GHz	1.4 GHz	25A474_operator 2025-11-18 15:15:04+00:00
2025-11-18 16:21 UTC	2025-11-18 16:24 UTC	0:03:00	21	OPERATOR	Rcvr1_2	VEGAS	NGC6154	OnOff	SIMPLE	2	1.4 GHz	1.4 GHz	25A474_operator 2025-11-18 15:15:04+00:00
2025-11-18 16:30 UTC	2025-11-18 16:33 UTC	0:03:00	22	OPERATOR	Rcvr1_2	VEGAS	UGC08781	OnOff	SIMPLE	2	1.4 GHz	1.4 GHz	25A474_operator 2025-11-18 15:15:04+00:00
2025-11-18 16:34 UTC	2025-11-18 16:37 UTC	0:03:00	23	OPERATOR	Rcvr1_2	VEGAS	UGC08781	OnOff	SIMPLE	2	1.4 GHz	1.4 GHz	25A474_operator 2025-11-18 15:15:04+00:00
2025-11-18 16:37 UTC	2025-11-18 16:40 UTC	0:03:00	24	OPERATOR	Rcvr1_2	VEGAS	UGC08781	OnOff	SIMPLE	2	1.4 GHz	1.4 GHz	25A474_operator 2025-11-18 15:15:04+00:00
2025-11-18 16:41 UTC	2025-11-18 16:44 UTC	0:03:00	25	OPERATOR	Rcvr1_2	VEGAS	UGC08781	OnOff	SIMPLE	2	1.4 GHz	1.4 GHz	25A474_operator 2025-11-18 15:15:04+00:00
2025-11-18 16:44 UTC	2025-11-18 16:47 UTC	0:03:00	26	OPERATOR	Rcvr1_2	VEGAS	UGC08781	OnOff	SIMPLE	2	1.4 GHz	1.4 GHz	25A474_operator 2025-11-18 15:15:04+00:00
2025-11-18 16:47 UTC	2025-11-18 16:50 UTC	0:03:00	27	OPERATOR	Rcvr1_2	VEGAS	UGC08781	OnOff	SIMPLE	2	1.4 GHz	1.4 GHz	25A474_operator 2025-11-18 15:15:04+00:00
