Session Info
First Scan Start	2025-11-15 22:20 UTC
Last Scan End	2025-11-16 06:44 UTC
Total Size	2.45 GiB
# Files	884
# Scans	147
Total Obs. Time	6:51:01.600000
Total Obs. Span	8:24:16.900000
Min. Scan Duration	0:00:00.900000
Max. Scan Duration	0:03:00
Antenna Beam Intra-Scan Odometer	19.46°
Antenna Beam Odometer	None
Az. Scan Odometer	78.387 m
Az. Odometer	
Az. Displacement	


People
Observer	OPERATOR
Operators	Catherine Tounzen, Zack Graham


DSS Periods (2) 
DSS Session	PI	State	Start	Duration	Target	Receivers
GBT25A-474 - 04	Alberto Bolatto	Scheduled	2025-11-15 22:15 UTC	3.5	VV488NED02, NGC7047, UGC11717, UGC11792, NGC7025, NGC7550, MCG-01-01-012, UGC12274, MCG-01-52-012, NGC7194 (6.14, 0.14)	L
GBT25A-474 - 01	Alberto Bolatto	Scheduled	2025-11-16 01:45 UTC	5.0	NGC0681, NGC0991, NGC0787, UGC01368, UGC02229, UGC00335NED02, UGC02222, NGC0731 (0.69, 0.03)	L


Executed Astrid Scripts (4) 
Script Name	Start	End	Duration	State	Observer	# Scans	Script md5
25A474_operator	2025-11-15 22:15 UTC	2025-11-15 22:15 UTC	0:00:00	In Progress	OPERATOR	118	—
25A474_operator_scienceonly	2025-11-16 05:15 UTC	2025-11-16 05:17 UTC	0:02:56	Aborted	OPERATOR	1	—
25A474_operator_scienceonly	2025-11-16 05:18 UTC	2025-11-16 05:26 UTC	0:07:33	Aborted	OPERATOR	3	—
25A474_operator	2025-11-16 05:26 UTC	2025-11-16 06:45 UTC	1:18:26	Aborted	OPERATOR	25	—


Scans (147)
Start	End	Duration	#	Observer	Frontends	Backends	Object	Proc. Name	Proc. Type	# Subscans	Rest Freq.	Sky Freq.	Astrid Script
2025-11-15 22:20 UTC	2025-11-15 22:21 UTC	0:00:30	1	OPERATOR	Rcvr1_2	DCR	3C48	Peak	POINTING	4	1.4 GHz	1.4 GHz	25A474_operator 2025-11-15 22:15:31+00:00
2025-11-15 22:21 UTC	2025-11-15 22:21 UTC	0:00:30	2	OPERATOR	Rcvr1_2	DCR	3C48	Peak	POINTING	4	1.4 GHz	1.4 GHz	25A474_operator 2025-11-15 22:15:31+00:00
2025-11-15 22:22 UTC	2025-11-15 22:22 UTC	0:00:30	3	OPERATOR	Rcvr1_2	DCR	3C48	Peak	POINTING	4	1.4 GHz	1.4 GHz	25A474_operator 2025-11-15 22:15:31+00:00
2025-11-15 22:23 UTC	2025-11-15 22:23 UTC	0:00:30	4	OPERATOR	Rcvr1_2	DCR	3C48	Peak	POINTING	4	1.4 GHz	1.4 GHz	25A474_operator 2025-11-15 22:15:31+00:00
2025-11-15 22:24 UTC	2025-11-15 22:25 UTC	0:01:00	5	OPERATOR	Rcvr1_2	DCR	3C48	FocusSubreflector	CALIBRATION	1	1.4 GHz	1.4 GHz	25A474_operator 2025-11-15 22:15:31+00:00
2025-11-15 22:26 UTC	2025-11-15 22:29 UTC	0:03:00	6	OPERATOR	Rcvr1_2	VEGAS	3C48	OnOff	SIMPLE	2	1.4 GHz	1.4 GHz	25A474_operator 2025-11-15 22:15:31+00:00
2025-11-15 22:29 UTC	2025-11-15 22:32 UTC	0:03:00	7	OPERATOR	Rcvr1_2	VEGAS	3C48	OnOff	SIMPLE	2	1.4 GHz	1.4 GHz	25A474_operator 2025-11-15 22:15:31+00:00
2025-11-15 22:41 UTC	2025-11-15 22:44 UTC	0:03:00	8	OPERATOR	Rcvr1_2	VEGAS	VV488NED02	OnOff	SIMPLE	2	1.4 GHz	1.4 GHz	25A474_operator 2025-11-15 22:15:31+00:00
2025-11-15 22:45 UTC	2025-11-15 22:48 UTC	0:03:00	9	OPERATOR	Rcvr1_2	VEGAS	VV488NED02	OnOff	SIMPLE	2	1.4 GHz	1.4 GHz	25A474_operator 2025-11-15 22:15:31+00:00
2025-11-15 22:48 UTC	2025-11-15 22:51 UTC	0:03:00	10	OPERATOR	Rcvr1_2	VEGAS	VV488NED02	OnOff	SIMPLE	2	1.4 GHz	1.4 GHz	25A474_operator 2025-11-15 22:15:31+00:00
