query_source,query_ra,query_dec,project_id,session,scan_number,duration,total_obs_time,nchan,bandwidth,spectral_resolution_kHz,obs_ra,obs_dec,sky_freq,rest_freq,frontend,backend,obs_source,obstype
NGC3896,177.2347065,48.6747715,GBT13A-430,AGBT13A_430_15,95,316.0,22791.0,16384.0,12.5,0.762939453125,176.53524412859528,49.22008871872089,1420405800.0,1420405800.0,Rcvr1_2,Spectrometer,Mrk178,Spectroscopy
NGC3896,177.2347065,48.6747715,GBT13A-430,AGBT13A_430_15,93,316.0,22791.0,16384.0,12.5,0.762939453125,176.42299831792758,49.31111286631788,1420405800.0,1420405800.0,Rcvr1_2,Spectrometer,Mrk178,Spectroscopy
NGC3896,177.2347065,48.6747715,GBT13A-430,AGBT13A_430_15,91,317.0,22791.0,16384.0,12.5,0.762939453125,176.31034617681894,49.40203029605861,1420405800.0,1420405800.0,Rcvr1_2,Spectrometer,Mrk178,Spectroscopy
NGC3896,177.2347065,48.6747715,GBT13A-430,AGBT13A_430_15,89,318.0,22791.0,16384.0,12.5,0.762939453125,176.19728534277323,49.49284029857363,1420405800.0,1420405800.0,Rcvr1_2,Spectrometer,Mrk178,Spectroscopy
NGC3896,177.2347065,48.6747715,GBT13A-430,AGBT13A_430_15,87,318.0,22791.0,16384.0,12.5,0.762939453125,176.08381344165392,49.583542158444125,1420405800.0,1420405800.0,Rcvr1_2,Spectrometer,Mrk178,Spectroscopy
NGC3896,177.2347065,48.6747715,GBT13A-430,AGBT13A_430_15,97,315.0,22791.0,16384.0,12.5,0.762939453125,176.64708595968222,49.128958556621775,1420405800.0,1420405800.0,Rcvr1_2,Spectrometer,Mrk178,Spectroscopy
NGC0495,20.7340005,33.4703116,GBT06B-050,AGBT06B_050_02,84,122.0,5160.0,16384.0,12.5,0.762939453125,19.83432690334587,33.02023268384465,1420405752.0,1420405752.0,Rcvr1_2,Spectrometer,chi_Cyg,Spectroscopy
NGC0495,20.7340005,33.4703116,GBT06B-050,AGBT06B_050_02,83,122.0,5160.0,16384.0,12.5,0.762939453125,19.83083794247455,33.06416666666667,1420405752.0,1420405752.0,Rcvr1_2,Spectrometer,chi_Cyg,Spectroscopy
NGC0495,20.7340005,33.4703116,GBT06B-050,AGBT06B_050_02,80,122.0,5160.0,16384.0,12.5,0.762939453125,19.85117309665413,33.02023268384465,1420405752.0,1420405752.0,Rcvr1_2,Spectrometer,chi_Cyg,Spectroscopy
NGC0495,20.7340005,33.4703116,GBT06B-050,AGBT06B_050_02,79,122.0,5160.0,16384.0,12.5,0.762939453125,19.85466205752545,33.06416666666667,1420405752.0,1420405752.0,Rcvr1_2,Spectrometer,chi_Cyg,Spectroscopy
NGC0495,20.7340005,33.4703116,GBT06B-050,AGBT06B_050_02,72,122.0,5160.0,16384.0,12.5,0.762939453125,19.84275,33.12629870102263,1420405752.0,1420405752.0,Rcvr1_2,Spectrometer,chi_Cyg,Spectroscopy
NGC0495,20.7340005,33.4703116,GBT06B-050,AGBT06B_050_02,71,122.0,5160.0,16384.0,12.5,0.762939453125,19.84275,33.06416666666667,1420405752.0,1420405752.0,Rcvr1_2,Spectrometer,chi_Cyg,Spectroscopy
NGC1094,41.865981,-0.2851119,GBT13B-246,AGBT13B_246_12,58,302.0,39513.0,16384.0,50.0,3.0517578125,41.72041666666667,-0.4547222222222222,1420405000.0,1420405000.0,Rcvr1_2,Spectrometer,rf0393,Spectroscopy
