CALIFA_name,RA,DEC,Vlsr,Final_QS,Final_NA,Final_flag_QS,Final_flag_NA,Archive_HI?
2MASSXJ22532475,343.353174258808,4.79951056351426,7350.357507551282,SF,nonA,1,S,N
2MASXJ01331766+1319567,23.3237353572048,13.3324282762911,2693.335767725673,SF,nonA,1,S,Y
2MASXJ08374557,129.441689522516,49.4779881662374,15288.489812780681,SF,nonA,1,S,N
2MASXJ09065870,136.744555258512,20.7863461387406,23963.854082804482,MX,nonA,2,S,N
2MASXJ09591230,149.801167554749,-9.00252295190642,9790.799679184702,fR,nonA,3,U,N
2MASXJ12095669,182.48770270963,47.0960271778437,9382.278521388973,nR,nonA,3,U,N
2MASXJ15024995+4847010-2,225.710625187868,48.7837775687996,7647.733290097943,SF,nonA,1,S,N
2MASXJ15570268+3725001,239.262108237487,37.4167278809539,9307.96498523468,nR,nonA,3,U,N
2MASXJ16152860,243.868934343648,19.2260939889689,9687.81006800027,SF,nonA,1,S,N
ARP118,43.794992607641,-0.179958964196501,8301.51810196398,MX,nonA,2,S,Y
ARP180,73.3523736721931,-4.79281030209745,4185.983107147741,MX,nonA,2,U,N
ARP220,233.739023856285,23.5036884217683,5442.300810588924,MX,sAGN,1,S,Y
ASAS14my,174.626003332435,-8.97621711581757,6178.7973795135695,SF,nonA,1,S,N
ASAS15cb,189.959305785863,3.79687277569156,11920.652137272937,SF,nonA,1,S,N
ASAS15cd,149.811594368548,12.9878853937134,10265.888199410672,SF,sAGN,1,S,N
ASAS15db,236.744805120197,17.8844853149937,3269.8849330407584,SF,nonA,1,S,Y
ASAS15dd,235.995245832429,19.2115906089904,7300.544218705762,fR,nonA,2,S,N
ASASSN-14in,276.122990762668,52.4439463378343,9178.30254516068,SF,nonA,1,S,N
ASASSN15fj,257.535657332429,74.7286550427014,12622.144820848112,fR,nonA,3,U,N
ASASSN15fs,284.669898149167,43.4685590323187,8675.380604511005,SF,nonA,2,S,N
Arp141,108.58522400643,73.4805382134916,2725.6273318633043,MX,nonA,2,S,Y
Arp141_b,108.585692932808,73.4740182181467,2732.428993350935,MX,wAGN,2,U,N
Arp143,116.728010244029,39.0151587341856,3925.8226306985866,SF,nonA,1,S,Y
