# %ECSV 0.9
# ---
# datatype:
# - {name: Name, datatype: string, description: Galaxy Name}
# - {name: Refcode, datatype: string, description: Ref Code for spectrum}
# - {name: Vsys, unit: km / s, datatype: float32, description: 'Vsys from LEDA, optical barycentric'}
# - {name: Deltav, unit: km / s, datatype: float32, description: Velocity channel width}
# - {name: Robust_rms, unit: mJy, datatype: float32, description: rms noise from mad_std over noise region}
# - {name: RefInt, unit: Jy km / s, datatype: float32, description: integrated HI flux over fixed window of +/- 600.0}
# - {name: RefUnc, unit: Jy km / s, datatype: float32, description: uncertainty in RefInt}
# - {name: SigInt, unit: Jy km / s, datatype: float32, description: integrated HI flux over get_signal_range window}
# - {name: SigUnc, unit: Jy km / s, datatype: float32, description: uncertainty in SigInt}
# - {name: SigVmin, unit: km / s, datatype: float32, description: signal start from get_signal_range}
# - {name: SigVmax, unit: km / s, datatype: float32, description: signal end from get_signal_range}
# - {name: BadFlag, datatype: bool, description: True for poor signal}
# delimiter: ','
# meta: !!omap
# - {comments: Integrated HI fluxes from a combination of NED and GBT spectra}
# - {date: '2023-06-18'}
# schema: astropy-2.0
Name,Refcode,Vsys,Deltav,Robust_rms,RefInt,RefUnc,SigInt,SigUnc,SigVmin,SigVmax,BadFlag
UGC10972,edge2025,4652.0,3.71,2.52,0.0,0.0,8.00,0.11,4402.0,4902.0,False
NGC6154,edge2025,5966.0,3.75,2.24,0.0,0.0,4.90,0.07,5841.0,6091.0,False
NGC5480,edge2025,1906.0,3.64,2.84,0.0,0.0,7.18,0.10,1656.0,2156.0,False
NGC5633,edge2025,2326.0,3.66,2.44,0.0,0.0,9.11,0.10,2126.0,2526.0,False
UGC09476,edge2025,3271.0,3.68,3.07,0.0,0.0,6.69,0.09,3121.0,3421.0,False
UGC08733,edge2025,2321.0,3.66,3.70,0.0,0.0,17.15,0.11,2186.0,2456.0,False
VV488NED02,edge2025,4934.0,3.69,2.34,0.0,0.0,15.18,0.15,4434.0,5434.0,False
NGC7047,edge2025,5787.0,3.73,2.82,0.0,0.0,1.86,0.11,5537.0,6037.0,False
UGC11717,edge2025,6303.0,3.75,1.98,0.0,0.0,0.07,0.08,6103.0,6503.0,False
UGC11792,edge2025,4812.0,3.72,2.63,0.0,0.0,3.32,0.10,4612.0,5012.0,False
NGC7025,edge2025,4968.0,3.70,2.62,0.0,0.0,2.55,0.13,4618.0,5318.0,False
NGC7550,edge2025,5078.0,3.71,2.47,0.0,0.0,-0.66,0.11,4778.0,5378.0,False
MCG-01-01-012,edge2025,5765.0,3.73,2.63,0.0,0.0,3.41,0.12,5465.0,6065.0,False
UGC12274,edge2025,7656.0,3.76,3.95,0.0,0.0,0.57,0.21,7256.0,8056.0,False
NGC7194,edge2025,8146.0,3.77,2.89,0.0,0.0,8.71,0.21,7446.0,8846.0,False
NGC0681,edge2025,1748.0,3.63,2.45,0.0,0.0,17.82,0.13,1448.0,2048.0,False
NGC0991,edge2025,1532.0,3.65,2.83,0.0,0.0,18.16,0.06,1457.0,1607.0,False
NGC0787,edge2025,4770.0,3.71,3.03,0.0,0.0,3.18,0.12,4545.0,4995.0,False
UGC01368,edge2025,7973.0,3.78,2.30,0.0,0.0,0.54,0.11,7673.0,8273.0,False
NGC2595,edge2025,4326.0,3.70,2.45,0.0,0.0,13.27,0.10,4076.0,4576.0,False
UGC04245,edge2025,5203.0,3.71,2.82,0.0,0.0,12.07,0.12,4903.0,5503.0,False
NGC2554,edge2025,4129.0,3.70,2.75,0.0,0.0,1.49,0.10,3929.0,4329.0,False
UGC04455,edge2025,9272.0,3.82,3.07,0.0,0.0,3.09,0.13,9022.0,9522.0,False
UGC04136,edge2025,6682.0,3.74,3.11,0.0,0.0,1.99,0.17,6282.0,7082.0,False
IC2341,edge2025,5133.0,3.71,3.13,0.0,0.0,2.47,0.15,4833.0,5433.0,False
