ID	RA	Dec	SDSS Name
522	171.07768	0.64373	J112418.64+003837.4
947	204.1997	1.15389	J133647.92+010914.0
1115	214.56213	0.89111	J141814.91+005328.0
1137	215.81119	0.97835	J142314.68+005842.0
1221	218.85559	0.33433	J143525.34+002003.6
1977	349.56528	0.26118	J231815.66+001540.2
3189	10.09787	14.61375	J004023.48+143649.4
3261	13.88588	15.77582	J005532.61+154632.9
3318	15.65954	15.16852	J010238.29+151006.6
3439	17.27486	14.75578	J010905.96+144520.8
3465	18.09092	15.01085	J011221.82+150039.0
3504	19.59767	13.62457	J011823.44+133728.4
3505	19.44485	13.32348	J011746.76+131924.5
3509	19.29855	13.34094	J011711.65+132027.3
3519	19.36713	14.70443	J011728.11+144215.9
3524	19.31707	14.62238	J011716.09+143720.5
3645	18.7573	15.4135	J011501.75+152448.6
3819	25.42995	13.67579	J014143.18+134032.8
3821	25.17783	13.5513	J014042.68+133304.6
3880	31.33284	13.25853	J020519.88+131530.7
3962	30.99645	14.31038	J020359.14+141837.3
3977	31.93529	14.0816	J020744.46+140453.7
3981	33.51833	13.19898	J021404.39+131156.3
3985	33.55051	13.4369	J021412.12+132612.8
4017	31.32309	13.50573	J020517.54+133020.6
4030	32.41449	13.98319	J020939.47+135859.4
4037	32.87822	14.30053	J021130.77+141801.9
4038	32.84092	14.50432	J021121.82+143015.5
4039	32.881	14.20067	J021131.43+141202.4
4040	32.91276	14.14176	J021139.06+140830.3
4041	32.90393	14.51257	J021136.94+143045.2
4045	32.88983	13.91716	J021133.55+135501.7
4048	33.08076	13.61269	J021219.38+133645.6
4054	33.40625	13.72813	J021337.50+134341.2
4057	33.58021	13.93647	J021419.24+135611.2
4094	25.86112	13.32028	J014326.66+131913.0
4137	29.21666	13.21278	J015651.99+131246.0
4195	27.27541	14.43075	J014906.09+142550.6
4216	28.96662	14.94026	J015551.98+145624.9
4223	29.30404	14.73546	J015712.97+144407.6
4230	29.29084	14.54988	J015709.80+143259.5
4233	29.28051	14.92878	J015707.32+145543.5
4239	29.56764	14.29665	J015816.23+141747.9
4914	149.1394	1.83584	J095633.45+015009.0
5035	150.46954	3.01132	J100152.69+030040.7
5204	156.96182	2.60946	J102750.83+023634.0
5442	165.13548	2.11607	J110032.51+020657.8
5872	170.64163	3.24391	J112233.99+031438.0
6375	186.86507	3.30213	J122727.61+031807.6
6506	190.78902	3.58119	J124309.36+033452.2
6565	192.40916	2.75561	J124938.19+024520.2
6583	192.73248	3.19703	J125055.79+031149.3
6749	196.96169	3.19466	J130750.80+031140.7
7031	206.69661	2.12005	J134647.18+020712.1
7050	207.29039	2.75321	J134909.67+024511.6
7286	213.63354	3.19026	J141432.05+031124.9
7457	216.80743	2.84683	J142713.78+025048.6
7493	216.83388	2.83838	J142720.13+025018.1
7561	218.39867	2.63871	J143335.68+023819.3
8096	133.22914	3.15234	J085254.99+030908.4
8335	143.87408	3.65504	J093529.77+033918.1
8347	144.74374	4.16128	J093858.50+040940.5
8349	144.97343	3.81395	J093953.62+034850.2
8724	155.62996	4.58243	J102231.19+043456.7
8914	161.00922	4.66301	J104402.21+043946.8
8945	163.3137	4.3342	J105315.29+042003.1
8953	163.17381	4.15387	J105241.71+040913.9
9301	210.82076	4.36317	J140316.98+042147.4
9384	213.791	4.4779	J141509.84+042840.4
9463	216.27293	3.23315	J142505.50+031359.3
9483	215.23561	3.87152	J142056.54+035217.4
9507	215.13684	5.11065	J142032.84+050638.3
9514	215.5405	4.52114	J142209.71+043116.1
9551	216.8849	4.82163	J142732.37+044917.8
9601	218.4643	3.67948	J143351.42+034046.1
9607	217.6819	3.19704	J143043.65+031149.3
9619	217.13878	3.262	J142833.30+031543.1
9704	220.24709	3.13709	J144059.30+030813.5
9814	218.45142	3.95687	J143348.34+035724.7
9917	220.1083	3.59891	J144025.99+033556.0
9948	221.06145	4.21854	J144414.74+041306.7
10019	222.97246	3.36327	J145153.39+032147.7
10218	227.91817	3.67617	J151140.36+034034.2
10358	229.29646	3.3516	J151711.15+032105.7
10367	228.9744	3.05031	J151553.85+030301.1
10404	229.34567	4.21359	J151722.96+041248.9
10447	229.67056	4.41816	J151840.93+042505.3
10813	330.99182	11.90592	J220358.03+115421.2
10817	330.33722	12.1967	J220120.93+121148.1
10827	330.44748	13.20792	J220147.39+131228.5
10831	330.84415	12.64934	J220322.59+123857.6
10836	331.0809	12.96839	J220419.41+125806.2
10841	332.7987	11.80073	J221111.69+114802.6
10844	333.22122	12.36632	J221253.09+122158.7
10850	331.41165	12.4226	J220538.79+122521.3
10872	333.3396	13.43648	J221321.50+132611.3
10884	333.62762	13.07915	J221430.63+130444.9
10885	333.05203	12.20519	J221212.48+121218.6
10889	333.15033	14.01777	J221236.07+140103.9
10942	333.87616	13.67317	J221530.28+134023.4
10943	333.91913	13.60471	J221540.59+133616.9
10944	333.93195	13.71454	J221543.66+134252.3
10948	334.15372	13.25401	J221636.89+131514.4
10949	334.00214	13.14773	J221600.51+130851.8
10950	333.99796	13.45427	J221559.51+132715.3
10952	334.2415	13.54307	J221657.95+133235.0
11015	339.2566	14.40484	J223701.58+142417.4
11016	339.0828	14.31453	J223619.86+141852.3
11019	339.54413	14.44059	J223810.59+142626.1
11071	344.36124	13.00165	J225726.69+130005.9
11086	343.85175	13.24828	J225524.42+131453.8
11087	343.8582	12.9276	J225525.96+125539.3
11112	345.66794	13.32907	J230240.30+131944.6
11120	345.92944	13.92654	J230343.06+135535.5
11126	345.29617	13.15904	J230111.07+130932.5
11132	345.4441	13.53856	J230146.58+133218.8
11223	346.5685	13.98231	J230616.43+135856.3
11270	349.57065	13.57406	J231816.95+133426.6
11295	348.39465	13.98678	J231334.71+135912.3
11297	348.381	14.32742	J231331.44+141938.6
11298	348.37665	14.06391	J231330.39+140350.0
11311	348.12177	13.94226	J231229.22+135632.1
11340	348.31863	14.90436	J231316.47+145415.6
11349	349.6509	15.29966	J231836.21+151758.7
11386	351.5471	14.03003	J232611.29+140148.1
11408	350.61417	13.81586	J232227.40+134857.1
11437	350.56406	14.08073	J232215.37+140450.6
11513	350.66452	15.73483	J232239.48+154405.3
11514	350.86057	15.41956	J232326.53+152510.4
11808	358.2388	15.71246	J235257.31+154244.8
11824	359.4482	15.61368	J235747.57+153649.2
11845	359.18533	13.90986	J235644.47+135435.4
11956	2.08654	15.15601	J000820.76+150921.6
11989	6.49538	13.9294	J002558.89+135545.8
11994	6.49573	14.34799	J002558.97+142052.7
12002	6.2667	14.97091	J002504.00+145815.2
12025	4.89396	16.20418	J001934.54+161215.0
12293	170.12183	4.12838	J112029.23+040742.1
12318	168.68063	4.02452	J111443.35+040128.2
12371	168.27669	5.23417	J111306.40+051403.0
12372	168.2669	5.09616	J111304.05+050546.1
12455	170.07416	4.32036	J112017.79+041913.3
12458	170.3261	3.66474	J112118.26+033953.0
